geometry,operating_temp_C,ambient_temp_C,insulation_mm,material,lambda_WmK,heat_flux_bare_Wm2,heat_flux_insulated_Wm2,heat_loss_reduction_pct,surface_temp_C,touch_safety_ISO13732_1
flat,250,20,75,mineral wool (lamella),0.0695,2300.0,195.1,91.5,39.5,"safe (prolonged contact, <=45C)"
flat,250,20,100,mineral wool (lamella),0.0695,2300.0,149.5,93.5,34.9,"safe (prolonged contact, <=45C)"
flat,250,20,125,mineral wool (lamella),0.0695,2300.0,121.1,94.7,32.1,"safe (prolonged contact, <=45C)"
flat,250,20,150,mineral wool (lamella),0.0695,2300.0,101.8,95.6,30.2,"safe (prolonged contact, <=45C)"
flat,250,30,0,none,,2200.0,2200.0,0.0,250,burn risk (>60C)
flat,250,30,25,mineral wool (lamella),0.071,2200.0,486.6,77.9,78.7,burn risk (>60C)
flat,250,30,50,mineral wool (lamella),0.071,2200.0,273.6,87.6,57.4,caution (brief touch)
flat,250,30,75,mineral wool (lamella),0.071,2200.0,190.3,91.4,49.0,"short-contact only (~1 s, bare metal)"
flat,250,30,100,mineral wool (lamella),0.071,2200.0,145.8,93.4,44.6,"safe (prolonged contact, <=45C)"
flat,250,30,125,mineral wool (lamella),0.071,2200.0,118.2,94.6,41.8,"safe (prolonged contact, <=45C)"
flat,250,30,150,mineral wool (lamella),0.071,2200.0,99.4,95.5,39.9,"safe (prolonged contact, <=45C)"
flat,300,0,0,none,,3000.0,3000.0,0.0,300,burn risk (>60C)
flat,300,0,25,mineral wool (wired),0.055,3000.0,541.0,82.0,54.1,caution (brief touch)
flat,300,0,50,mineral wool (wired),0.055,3000.0,297.3,90.1,29.7,"safe (prolonged contact, <=45C)"
flat,300,0,75,mineral wool (wired),0.055,3000.0,205.0,93.2,20.5,"safe (prolonged contact, <=45C)"
flat,300,0,100,mineral wool (wired),0.055,3000.0,156.4,94.8,15.6,"safe (prolonged contact, <=45C)"
flat,300,0,125,mineral wool (wired),0.055,3000.0,126.4,95.8,12.6,"safe (prolonged contact, <=45C)"
flat,300,0,150,mineral wool (wired),0.055,3000.0,106.1,96.5,10.6,"safe (prolonged contact, <=45C)"
flat,300,10,0,none,,2900.0,2900.0,0.0,300,burn risk (>60C)
flat,300,10,25,mineral wool (wired),0.0559,2900.0,529.9,81.7,63.0,burn risk (>60C)
flat,300,10,50,mineral wool (wired),0.0559,2900.0,291.6,89.9,39.2,"safe (prolonged contact, <=45C)"
flat,300,10,75,mineral wool (wired),0.0559,2900.0,201.2,93.1,30.1,"safe (prolonged contact, <=45C)"
flat,300,10,100,mineral wool (wired),0.0559,2900.0,153.5,94.7,25.4,"safe (prolonged contact, <=45C)"
